id,phase_code,phase_label,cargo_code,cargo_label,trigger_code,trigger_label,context_code,context_label,text,eusotrip_coverage,eusotrip_evidence,uber_freight,cloudtrucks,severity,gap_note
S-01-01-01-A,01,Load posting,01,Dry van,01,Happy path,A,Direct shipper→driver,[Load posting] · Dry van · Happy path · Direct shipper→driver: a shipper and driver execute the load posting step on a dry van load while happy path unfolds in a direct shipper→driver arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-01-01-B,01,Load posting,01,Dry van,01,Happy path,B,Broker-routed,[Load posting] · Dry van · Happy path · Broker-routed: a shipper and driver execute the load posting step on a dry van load while happy path unfolds in a broker-routed arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-01-01-C,01,Load posting,01,Dry van,01,Happy path,C,Catalyst-managed,[Load posting] · Dry van · Happy path · Catalyst-managed: a shipper and driver execute the load posting step on a dry van load while happy path unfolds in a catalyst-managed arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-01-01-D,01,Load posting,01,Dry van,01,Happy path,D,Multi-stop / chain,[Load posting] · Dry van · Happy path · Multi-stop / chain: a shipper and driver execute the load posting step on a dry van load while happy path unfolds in a multi-stop / chain arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-01-02-A,01,Load posting,01,Dry van,02,Weather delay,A,Direct shipper→driver,[Load posting] · Dry van · Weather delay · Direct shipper→driver: a shipper and driver execute the load posting step on a dry van load while weather delay unfolds in a direct shipper→driver arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-01-02-B,01,Load posting,01,Dry van,02,Weather delay,B,Broker-routed,[Load posting] · Dry van · Weather delay · Broker-routed: a shipper and driver execute the load posting step on a dry van load while weather delay unfolds in a broker-routed arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-01-02-C,01,Load posting,01,Dry van,02,Weather delay,C,Catalyst-managed,[Load posting] · Dry van · Weather delay · Catalyst-managed: a shipper and driver execute the load posting step on a dry van load while weather delay unfolds in a catalyst-managed arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-01-02-D,01,Load posting,01,Dry van,02,Weather delay,D,Multi-stop / chain,[Load posting] · Dry van · Weather delay · Multi-stop / chain: a shipper and driver execute the load posting step on a dry van load while weather delay unfolds in a multi-stop / chain arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-01-03-A,01,Load posting,01,Dry van,03,Mechanical breakdown,A,Direct shipper→driver,[Load posting] · Dry van · Mechanical breakdown · Direct shipper→driver: a shipper and driver execute the load posting step on a dry van load while mechanical breakdown unfolds in a direct shipper→driver arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-01-03-B,01,Load posting,01,Dry van,03,Mechanical breakdown,B,Broker-routed,[Load posting] · Dry van · Mechanical breakdown · Broker-routed: a shipper and driver execute the load posting step on a dry van load while mechanical breakdown unfolds in a broker-routed arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-01-03-C,01,Load posting,01,Dry van,03,Mechanical breakdown,C,Catalyst-managed,[Load posting] · Dry van · Mechanical breakdown · Catalyst-managed: a shipper and driver execute the load posting step on a dry van load while mechanical breakdown unfolds in a catalyst-managed arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-01-03-D,01,Load posting,01,Dry van,03,Mechanical breakdown,D,Multi-stop / chain,[Load posting] · Dry van · Mechanical breakdown · Multi-stop / chain: a shipper and driver execute the load posting step on a dry van load while mechanical breakdown unfolds in a multi-stop / chain arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-01-04-A,01,Load posting,01,Dry van,04,Traffic / road closure,A,Direct shipper→driver,[Load posting] · Dry van · Traffic / road closure · Direct shipper→driver: a shipper and driver execute the load posting step on a dry van load while traffic / road closure unfolds in a direct shipper→driver arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-01-04-B,01,Load posting,01,Dry van,04,Traffic / road closure,B,Broker-routed,[Load posting] · Dry van · Traffic / road closure · Broker-routed: a shipper and driver execute the load posting step on a dry van load while traffic / road closure unfolds in a broker-routed arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-01-04-C,01,Load posting,01,Dry van,04,Traffic / road closure,C,Catalyst-managed,[Load posting] · Dry van · Traffic / road closure · Catalyst-managed: a shipper and driver execute the load posting step on a dry van load while traffic / road closure unfolds in a catalyst-managed arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-01-04-D,01,Load posting,01,Dry van,04,Traffic / road closure,D,Multi-stop / chain,[Load posting] · Dry van · Traffic / road closure · Multi-stop / chain: a shipper and driver execute the load posting step on a dry van load while traffic / road closure unfolds in a multi-stop / chain arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-01-05-A,01,Load posting,01,Dry van,05,Accident / incident,A,Direct shipper→driver,[Load posting] · Dry van · Accident / incident · Direct shipper→driver: a shipper and driver execute the load posting step on a dry van load while accident / incident unfolds in a direct shipper→driver arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-01-05-B,01,Load posting,01,Dry van,05,Accident / incident,B,Broker-routed,[Load posting] · Dry van · Accident / incident · Broker-routed: a shipper and driver execute the load posting step on a dry van load while accident / incident unfolds in a broker-routed arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-01-05-C,01,Load posting,01,Dry van,05,Accident / incident,C,Catalyst-managed,[Load posting] · Dry van · Accident / incident · Catalyst-managed: a shipper and driver execute the load posting step on a dry van load while accident / incident unfolds in a catalyst-managed arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-01-05-D,01,Load posting,01,Dry van,05,Accident / incident,D,Multi-stop / chain,[Load posting] · Dry van · Accident / incident · Multi-stop / chain: a shipper and driver execute the load posting step on a dry van load while accident / incident unfolds in a multi-stop / chain arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
S-01-01-06-A,01,Load posting,01,Dry van,06,Customs hold,A,Direct shipper→driver,[Load posting] · Dry van · Customs hold · Direct shipper→driver: a shipper and driver execute the load posting step on a dry van load while customs hold unfolds in a direct shipper→driver arrangement.,PARTIAL,audit pending,?,?,P2,coverage_rules.json not yet hydrated
